Num   theta     phi         ul          ul_err   
441   1.738    1.865   1.099994e-14  8.502736e-16
442   1.738    2.062   1.069668e-14  4.967489e-16
443   1.738    2.258   7.944230e-15  2.056234e-16
444   1.738    2.454   7.347640e-15  3.365424e-16
445   1.738    2.651   6.047280e-15  2.705359e-16
446   1.738    2.847   5.016039e-15  2.747521e-16
447   1.738    3.043   4.702389e-15  2.944392e-16
448   1.738    3.240   3.353012e-15  3.039832e-16
449   1.738    3.436   3.038070e-15  2.095211e-16
450   1.738    3.632   2.734026e-15  3.118433e-16
451   1.738    3.829   2.633141e-15  3.215915e-16
452   1.738    4.025   2.695180e-15  2.072636e-16
453   1.738    4.222   2.209477e-15  1.478067e-16
454   1.738    4.418   2.047867e-15  1.055205e-16
455   1.738    4.614   1.948850e-15  2.353797e-16
456   1.738    4.811   2.147219e-15  1.607760e-16
457   1.738    5.007   2.012425e-15  2.358991e-16
458   1.738    5.203   2.094251e-15  1.370840e-16
459   1.738    5.400   2.530981e-15  1.396381e-16
460   1.738    5.596   2.239486e-15  1.226906e-16
461   1.738    5.792   2.647077e-15  1.087867e-16
462   1.738    5.989   2.628418e-15  1.423325e-16
463   1.738    6.185   3.163822e-15  1.630255e-16
464   1.823    0.000   2.931702e-15  1.177592e-16
465   1.823    0.196   3.852674e-15  1.261890e-16
466   1.823    0.393   4.616151e-15  1.819853e-16
467   1.823    0.589   5.556489e-15  4.435276e-16
468   1.823    0.785   7.538302e-15  3.403728e-16
469   1.823    0.982   8.569144e-15  7.125281e-16
470   1.823    1.178   9.787165e-15  3.460037e-16
471   1.823    1.374   9.869555e-15  8.910886e-16
472   1.823    1.571   1.006514e-14  3.751327e-16
473   1.823    1.767   1.116107e-14  8.120881e-16
474   1.823    1.963   1.109491e-14  7.649052e-16
475   1.823    2.160   8.880496e-15  4.774273e-16
476   1.823    2.356   7.667120e-15  3.408125e-16
477   1.823    2.553   6.927709e-15  4.161600e-16
478   1.823    2.749   5.087091e-15  4.921047e-16
479   1.823    2.945   4.293784e-15  1.837057e-16
480   1.823    3.142   4.330367e-15  2.545188e-16
481   1.823    3.338   3.662035e-15  4.449642e-16
482   1.823    3.534   2.872028e-15  1.231427e-16
483   1.823    3.731   2.817698e-15  1.608966e-16
484   1.823    3.927   2.497214e-15  1.365084e-16
485   1.823    4.123   2.672197e-15  2.282295e-16
486   1.823    4.320   2.145565e-15  1.234965e-16
487   1.823    4.516   1.955563e-15  7.967136e-17
488   1.823    4.712   2.246827e-15  1.635894e-16
489   1.823    4.909   2.180896e-15  1.773498e-16
490   1.823    5.105   2.354316e-15  1.293002e-16
491   1.823    5.301   2.265227e-15  1.815480e-16
492   1.823    5.498   2.101796e-15  8.413144e-17
493   1.823    5.694   2.170725e-15  1.607192e-16
494   1.823    5.890   2.452805e-15  9.210424e-17
495   1.823    6.087   2.668875e-15  1.370232e-16
496   1.911    0.098   3.646782e-15  2.203081e-16
497   1.911    0.295   3.963506e-15  1.760311e-16
498   1.911    0.491   4.938814e-15  3.001446e-16
499   1.911    0.687   7.061130e-15  5.554240e-16
500   1.911    0.884   7.593221e-15  5.242592e-16
501   1.911    1.080   8.886610e-15  4.595199e-16
502   1.911    1.276   9.835002e-15  5.007013e-16
503   1.911    1.473   1.147777e-14  3.119241e-16
504   1.911    1.669   1.098734e-14  4.756108e-16
505   1.911    1.865   1.001619e-14  3.432912e-16
506   1.911    2.062   9.484774e-15  4.988213e-16
507   1.911    2.258   8.312014e-15  8.390127e-16
508   1.911    2.454   7.070950e-15  4.896271e-16
509   1.911    2.651   5.051240e-15  2.120929e-16
510   1.911    2.847   5.155927e-15  3.946285e-16
511   1.911    3.043   4.036693e-15  1.590328e-16
512   1.911    3.240   3.712624e-15  2.629478e-16
513   1.911    3.436   3.305605e-15  3.989480e-16
